[2026-02-12 18:33:53] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942832927","Packet ID:":"0","PM1.0:":"0","PM2.5:":"0","PM10:":"0","CO2:":"500","CO:":"0","Temperature:":"11.22","Humidity:":"42.78","Airpressure:":"1013.17","Altitude:":"0.69"}
[2026-02-12 18:33:55] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942835161","Packet ID:":"0","PM1.0:":"47","PM2.5:":"1176","PM10:":"1176","CO2:":"432","CO:":"0","Temperature:":"11.22","Humidity:":"42.87","Airpressure:":"1013.14","Altitude:":"0.92"}
[2026-02-12 18:33:58] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942837817","Packet ID:":"0","PM1.0:":"47","PM2.5:":"1176","PM10:":"1176","CO2:":"432","CO:":"5","Temperature:":"11.19","Humidity:":"42.88","Airpressure:":"1013.19","Altitude:":"0.46"}
[2026-02-12 18:33:59] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942839568","Packet ID:":"0","PM1.0:":"47","PM2.5:":"1176","PM10:":"1176","CO2:":"432","CO:":"5","Temperature:":"11.18","Humidity:":"42.85","Airpressure:":"1013.17","Altitude:":"0.65"}
[2026-02-12 18:34:02] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942841817","Packet ID:":"0","PM1.0:":"51","PM2.5:":"1296","PM10:":"1296","CO2:":"432","CO:":"5","Temperature:":"11.17","Humidity:":"42.96","Airpressure:":"1013.19","Altitude:":"0.49"}
[2026-02-12 18:34:04] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942844081","Packet ID:":"0","PM1.0:":"52","PM2.5:":"1313","PM10:":"1313","CO2:":"432","CO:":"5","Temperature:":"11.15","Humidity:":"42.94","Airpressure:":"1013.17","Altitude:":"0.68"}
[2026-02-12 18:34:06] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942846250","Packet ID:":"0","PM1.0:":"52","PM2.5:":"1313","PM10:":"1313","CO2:":"432","CO:":"5","Temperature:":"11.13","Humidity:":"42.95","Airpressure:":"1013.15","Altitude:":"0.80"}
[2026-02-12 18:34:08] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942848485","Packet ID:":"0","PM1.0:":"52","PM2.5:":"1301","PM10:":"1301","CO2:":"432","CO:":"5","Temperature:":"11.12","Humidity:":"43.02","Airpressure:":"1013.17","Altitude:":"0.63"}
[2026-02-12 18:34:11] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942850808","Packet ID:":"0","PM1.0:":"51","PM2.5:":"1277","PM10:":"1277","CO2:":"432","CO:":"5","Temperature:":"11.10","Humidity:":"43.12","Airpressure:":"1013.15","Altitude:":"0.83"}
[2026-02-12 18:34:13] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942852890","Packet ID:":"0","PM1.0:":"51","PM2.5:":"1277","PM10:":"1277","CO2:":"432","CO:":"5","Temperature:":"11.09","Humidity:":"43.32","Airpressure:":"1013.15","Altitude:":"0.81"}
[2026-02-12 18:34:15] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942855099","Packet ID:":"0","PM1.0:":"50","PM2.5:":"1249","PM10:":"1250","CO2:":"432","CO:":"5","Temperature:":"11.08","Humidity:":"43.43","Airpressure:":"1013.23","Altitude:":"0.20"}
