17:43:28,PM2.5 ,P19 ,-1
17:43:28,CO2 ,P20 ,399
17:43:28,CO2 ,P21 ,555
17:43:29,PM2.5 ,P14 ,-1
17:43:30,PM2.5 ,P15 ,-1
17:43:30,CO2 ,P16 ,305
17:43:31,CO2 ,P17 ,400
17:43:31,PM2.5 ,P18 ,8
17:43:32,PM2.5 ,P19 ,-1
17:43:32,CO2 ,P20 ,399
17:43:32,CO2 ,P21 ,554
17:43:33,PM2.5 ,P14 ,0
17:43:33,PM2.5 ,P15 ,6
17:43:33,CO2 ,P16 ,303
17:43:33,CO2 ,P17 ,398
17:43:33,PM2.5 ,P18 ,9
17:43:34,PM2.5 ,P19 ,-1
17:43:35,CO2 ,P20 ,399
17:43:35,CO2 ,P21 ,553
17:43:35,PM2.5 ,P14 ,1
17:43:35,PM2.5 ,P15 ,10
17:43:35,CO2 ,P16 ,301
17:43:35,CO2 ,P17 ,396
17:43:35,PM2.5 ,P18 ,9
17:43:36,PM2.5 ,P19 ,-1
17:43:36,CO2 ,P20 ,399
17:43:36,CO2 ,P21 ,552
17:43:36,PM2.5 ,P14 ,1
17:43:37,PM2.5 ,P15 ,10
17:43:37,CO2 ,P16 ,298
17:43:37,CO2 ,P17 ,395
17:43:37,PM2.5 ,P18 ,7
17:43:38,PM2.5 ,P19 ,-1
17:43:38,CO2 ,P20 ,399
17:43:38,CO2 ,P21 ,551
17:43:39,PM2.5 ,P14 ,-1
17:43:39,PM2.5 ,P15 ,12
17:43:40,CO2 ,P16 ,295
17:43:40,CO2 ,P17 ,393
17:43:40,PM2.5 ,P18 ,10
17:43:42,PM2.5 ,P19 ,-1
17:43:42,CO2 ,P20 ,399
17:43:42,CO2 ,P21 ,549
17:43:42,PM2.5 ,P14 ,3
17:43:42,PM2.5 ,P15 ,9
17:43:42,CO2 ,P16 ,294
17:43:42,CO2 ,P17 ,392
17:43:43,PM2.5 ,P18 ,10
17:43:44,PM2.5 ,P19 ,-1
17:43:44,CO2 ,P20 ,399
17:43:44,CO2 ,P21 ,549
17:43:45,PM2.5 ,P14 ,3
17:43:45,PM2.5 ,P15 ,9
17:43:45,CO2 ,P16 ,293
17:43:45,CO2 ,P17 ,389
17:43:46,PM2.5 ,P18 ,7
17:43:47,PM2.5 ,P19 ,-1
17:43:47,CO2 ,P20 ,399
17:43:47,CO2 ,P21 ,548
17:43:48,PM2.5 ,P14 ,3
17:43:48,PM2.5 ,P15 ,8
17:43:48,CO2 ,P16 ,291
17:43:48,CO2 ,P17 ,388
17:43:48,PM2.5 ,P18 ,6
17:43:49,PM2.5 ,P19 ,-1
17:43:50,CO2 ,P20 ,399
17:43:50,CO2 ,P21 ,546
17:43:50,PM2.5 ,P14 ,3
17:43:50,PM2.5 ,P15 ,8
17:43:50,CO2 ,P16 ,289
17:43:51,CO2 ,P17 ,387
17:43:51,
